id;navn;pris;fyld
1;Vesuvio;57.0;tomatsauce,ost,skinke,oregano
2;Amerikaner;53.0;tomatsauce,ost,oksefars,oregano
3;Cacciatore;57.0;tomatsauce,ost,pepperoni,oregano
4;Cabona;63.0;tomatsauce,ost,kødsauce,spaghetti,cocktailpølser,oregano
5;Dennis;65.0;tomatsauce,ost,skinke,pepperoni,cocktailpølser,oregano
6;Bertil;57.0;tomatsauce,ost,bacon,oregano
7;Silvia;61.0;tomatsauce,ost,pepperoni,rød peber,løg,oliven,oregano
8;Victoria;61.0;tomatsauce,ost,skinke,ananas,champignon,løg,oregano
9;Toronfo;61.0;tomatsauce,ost,skinke,bacon,kebab,chili,oregano
10;Capricciosa;61.0;tomatsauce,ost,skinke,champignon,oregano
11;Hawaii;61.0;tomatsauce,ost,skinke,ananas,oregano
12;Le Blissola;61.0;tomatsauce,ost,skinke,rejer,oregano
13;Venezia;61.0;tomatsauce,ost,skinke,bacon,oregano
14;Mafia;61.0;tomatsauce,ost,pepperoni,bacon,løg,oregano
